fid,observer,notes,dateobserved,species,status,scientificName,dateModified,tree_id,point_id
"1",KRN,Ron’s favorite tree on campus,2021/03/28 16:09:08+00,Queensland Bottle Tree,Located,,,"46","1"
"2",KRN,,2021/03/28 15:49:17+00,Red-Flowering Gum,Located,,,"50","2"
"3",KRN,,2021/03/28 16:58:16+00,Mexican Fan Palm,Located,,,"14","3"
"4",KRN,,2021/03/28 15:58:41+00,Buckeye,Located,,,"94","4"
"5",KRN,,2021/03/28 15:59:57+00,Ginkgo,Located,,,"36","5"
"6",KRN,,2021/03/28 16:10:09+00,Chitalpa,Located,,,"16","6"
"7",KRN,,2021/03/28 16:27:15+00,Weeping Bottlebrush,Located,Callistemon viminalis ,2025/05/28 09:30:24.735+00,"49","7"
"8",KRN,,2021/03/28 16:27:48+00,Coast Silktassel,Located,,,"35","8"
"9",KRN,Birch tree. New to list,2021/03/28 18:51:40+00,Birch,New species,,,"107","9"
"10",KRN,,2021/03/28 15:50:10+00,California Alder (White Alder),Located,,,"15","10"
"11",KRN,,2021/03/28 15:51:03+00,Chinese Flame Tree,Located,,,"96","11"
"12",KRN,,2021/03/28 15:56:42+00,Coast Live Oak,Located,,,"31","12"
"13",KRN,,2021/03/28 15:57:08+00,Valley Oak,Located,,,"32","13"
"14",KRN,,2021/03/28 16:04:04+00,Australian Flame Tree,Located,,,"44","14"
"15",KRN,,2021/03/28 16:04:38+00,Bishop Pine,Located,,,"75","15"
"16",KRN,,2021/03/28 16:05:47+00,Italian Stone Pine,Located,,,"76","16"
"17",KRN,,2021/03/28 16:06:29+00,Catalina Ironwood,Located,,,"87","17"
"18",KRN,Removed,2021/03/28 16:11:40+00,Arroyo Willow,Other,,2025/05/28 10:37:55.580+00,"92","18"
"19",KRN,,2021/03/28 16:18:22+00,Red Ironbark,Located,,2025/05/28 10:00:04.573+00,"61","19"
"20",KRN,,2021/03/28 16:19:43+00,Narrow-leafed Peppermint,Located,,,"56","20"
"21",KRN,,2021/03/28 16:21:08+00,Incense Cedar,Located,,2025/05/28 09:57:01.164+00,"19","21"
"22",KRN,,2021/03/28 16:22:09+00,Blue Elderberry,Located,,,"1","22"
"23",KRN,Removed,2021/03/28 16:23:28+00,Queen Palm,Other,,2025/05/28 09:58:09.028+00,"12","23"
"24",KRN,,2021/03/28 16:28:26+00,Common Fig,Located,Ficus carica,2025/05/28 09:21:28.401+00,"47","24"
"25",KRN,,2021/03/28 16:28:35+00,Japanese Persimmon,Located,Diospyros kaki,2025/05/28 09:19:54.319+00,"24","25"
"26",KRN,Family is wrong on card,2021/03/28 16:31:58+00,Coast Redwood,Other,,2025/05/28 11:08:47.661+00,"98","26"
"27",KRN,,2021/03/28 16:33:01+00,Dawn Redwood,Located,,,"97","27"
"28",KRN,,2021/03/28 16:33:46+00,Giant Sequoia,Located,,,"99","28"
"29",KRN,,2021/03/28 16:35:54+00,Australian Tea Tree,Located,,,"67","29"
"30",KRN,,2021/03/28 16:36:50+00,Swamp Mallee,Located,,,"62","30"
"31",KRN,,2021/03/28 16:37:03+00,Swamp Mahogany,Located,,,"58","31"
"32",KRN,,2021/03/28 17:06:48+00,Monterey Cypress,Located,,2025/05/28 10:17:37.202+00,"21","32"
"33",KRN,,2021/03/28 17:07:21+00,Red Flowering Plum,Located,,2025/05/28 10:18:04.219+00,"89","33"
"34",KRN,,2021/03/28 17:17:11+00,Monterey Pine,Located,,,"77","34"
"35",KRN,,2021/03/28 17:22:10+00,Yew Tree,Located,,2025/05/28 09:47:41.478+00,"82","35"
"36",KRN,,2021/03/28 17:24:47+00,Apple,Located,,,"88","36"
"37",KRN,Removed,2021/03/28 17:27:38+00,Chinese Juniper,Other,,2025/05/28 09:57:46.039+00,"22","37"
"38",KRN,,2021/03/28 17:31:53+00,Sydney Golden Wattle,Located,,,"28","38"
"39",KRN,,2021/03/28 16:29:38+00,Pindo palm ,No sign,,2025/05/28 09:43:27.443+00,"102","39"
"40",KRN,,2021/03/28 17:52:07+00,Australian Willow,Located,,,"91","40"
"41",KRN,,2021/03/28 16:55:32+00,Acacia Tree,Located,,,"27","41"
"42",KRN,,2021/03/28 16:56:08+00,English Elm,Located,,,"100","42"
"43",KRN,,2021/03/28 16:56:47+00,Jacaranda,Located,,,"17","43"
"44",KRN,,2021/03/28 16:57:29+00,Ornamental Pear ,Located,,,"90","44"
