tree_id,sign_common_name,sign_scientific_name,sign_family,sign_origin,sign_status,sign_notes
1,Blue Elderberry,Sambucus nigra,Adoxaceae,"W USA, W Canada",Presumed Installed,
2,Giant Yucca,Yucca elephantipes,Agavaceae,"Mexico, C America",Installed,
3,Chinese Pistache,Pistacia chinensis,Anacardiaceae,China,Presumed Installed,
4,Lemonade Berry,Rhus integrifolia,Anacardiaceae,California,Orphaned,
5,African Sumac,Rhus lancea,Anacardiaceae,Africa,Orphaned,
6,Sugar Bush,Rhus ovata,Anacardiaceae,"S CA, AZ, Baja CA",Orphaned,
7,California Pepper Tree,Schinus molle,Anacardiaceae,South America,Installed,
8,Brazilian Pepper Tree,Schinus terebinthifolia,Anacardiaceae,South America,Presumed Installed,
9,Norfolk Island Pine,Araucaria heterophylla,Araucariaceae,Norfolk Island,Installed,
10,Canary Island Palm,Phoenix canariensis,Arecaceae,Canary Islands,Presumed Installed,
11,Senegal Date Palm,Phoenix reclinata,Arecaceae,Africa,Presumed Installed,
13,Chinese Windmill Palm,Trachycarpus fortunei,Arecaceae,Central China,Orphaned,
14,Mexican Fan Palm,Washingtonia robusta,Arecaceae,"California, Mexico",Presumed Installed,
15,California Alder (White Alder),Alnus rhombifolia,Betulaceae,California,Installed,
16,Chitalpa,Chitalpa tashkentensis,Bignoniaceae,hyb. from Uzbekistan,Installed,
17,Jacaranda,Jacaranda mimosifolia,Bignoniaceae,"Argentina, Bolivia",Presumed Installed,
18,Horsetail Tree,Casuarina cunninghamiana,Casuarinaceae,Australia,Installed,
19,Incense Cedar,Calocedrus decurrens,Cupressaceae ,California,Installed,
21,Monterey Cypress,Hesperocyparis macrocarpa,Cupressaceae ,California,Installed,
22,Chinese Juniper,Juniperus chinensis,Cupressaceae ,"China, Japan, Korea",Orphaned,
23,Oriental Arborvitae,Platycladus orientalis,Cupressaceae ,E and N Asia,Installed,
24,Japanese Persimmon,Diospyros kaki,Ebenaceae,China,Installed,
25,Pacific Madrone,Arbutus menziesii,Ericaceae,California,Orphaned,
26,Strawberry Tree,Arbutus unedo,Ericaceae,S Europe,Presumed Installed,
